miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-643,BDNF,88.0844,47.1241085738777,83.9985943701031,61.6496
hsa-miR-4659b-5p,BDNF,28.5674,47.4392512043808,89.9916342180304,62.7722
hsa-miR-4769-5p,BDNF,54.6394,69.5044399561511,63.2801373915274,63.0794
hsa-miR-2110,BDNF,53.0354,48.6703288992375,67.5979861739471,63.1816
hsa-miR-4417,BDNF,44.1563,29.740061931839,9.21287482424704,63.3394
hsa-miR-196a-5p,BDNF,75.6607,31.1683961431932,5.64794641908958,63.4431
hsa-miR-3976,BDNF,61.9289,70.6633190862118,93.6771201967147,63.7639
hsa-miR-6499-3p,BDNF,56.3604,25.7610628694445,40.4980639771634,63.9188
hsa-let-7d-5p,BDNF,56.1781,35.4304969154127,4.82604411141757,64.4236
hsa-miR-3925-3p,BDNF,49.2506,62.7124076045024,63.8212681464811,64.5617
hsa-miR-181c-3p,BDNF,55.3362,10.1923276206987,13.1134452805267,64.7193
hsa-miR-203b-5p,BDNF,61.286,56.898998064843,63.4233520177444,64.804
hsa-miR-1245b-3p,BDNF,67.5878,16.2404715630439,8.05473975434557,64.8889
hsa-miR-452-3p,BDNF,65.7449,42.3417552600318,87.6566057188449,65.0492
hsa-miR-3192,BDNF,62.0744,66.997270829193,42.2534867379449,65.1376
hsa-miR-3189-5p,BDNF,12.4853,20.6477207264715,7.28856119445461,65.664
hsa-miR-4999-3p,BDNF,56.5555,20.6196839527576,17.8193650065628,66.1804
hsa-miR-4513,BDNF,82.5918,24.9269611064891,71.2496834772984,66.2703
hsa-miR-1301,BDNF,54.8462,19.4906926430731,77.7368597298717,66.4378
hsa-miR-22-3p,BDNF,45.8268,26.9762324059564,62.807817917108,66.487
hsa-miR-140-5p,BDNF,61.286,56.898998064843,63.4233520177444,66.716
hsa-miR-642b-5p,BDNF,46.6381,54.2347610453658,61.6773150001109,66.8559
